,State or UN,Admin Cap,Legis Cap,Judi Cap,Year,Capital
0,Andaman and Nicobar Islands,Port Blair,—,Kolkata,1956,—
1,Andhra Pradesh,Visakhapatnam[3],Amaravati[3],Kurnool[3],1956,"Hyderabad[a](1956–2017)
Amaravati (2017-2020)"
2,Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1987,—
3,Assam,Dispur,Dispur,Guwahati,1972,Shillong[b] (1950–1972)
4,Bihar,Patna,Patna,Patna,1950,—
5,Chandigarh,Chandigarh[c],—,Chandigarh,1966,—
6,Chhattisgarh,Raipur[d],Raipur,Bilaspur,2000,—
7,Dadra and Nagar Haveli and Daman and Diu,Daman,—,Mumbai,2020,—
8,Delhi,New Delhi,New Delhi,New Delhi,1956,—
9,Goa,Panaji[e],Porvorim,Mumbai,1987,—
10,Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
11,Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
12,Himachal Pradesh,Shimla,Shimla (Summer)Dharamsala (Winter)[7],Shimla,19712017,—
13,Jammu and Kashmir,Srinagar (Summer)[8]Jammu (Winter),Srinagar (Summer)Jammu (Winter),Srinagar (Summer)Jammu (Winter),2019,—
14,Jharkhand,Ranchi,Ranchi,Ranchi,2000,—
15,Karnataka,Bengaluru,Bengaluru,Bengaluru,1956,—
16,Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,—
17,Ladakh,Leh (Summer)Kargil (Winter)[9],—,Srinagar (Summer)Jammu (Winter),2019,—
18,Lakshadweep,Kavaratti,—,Kochi,1956,—
19,Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,—
20,Maharashtra,Mumbai[f],"Mumbai (Summer)
Nagpur (Winter)",Mumbai,1960,—
21,Manipur,Imphal,Imphal,Imphal,1972,—
22,Meghalaya,Shillong,Shillong,Shillong,1972,—
23,Mizoram,Aizawl,Aizawl,Guwahati,1987,—
24,Nagaland,Kohima,Kohima,Guwahati,1963,—
25,Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1950,Cuttack
26,Puducherry,Pondicherry,Pondicherry,Chennai,1954,—
27,Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—
28,Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
29,Sikkim,Gangtok[g],Gangtok,Gangtok,1975,—
30,Tamil Nadu,Chennai[h],Chennai,Chennai,1956,—
31,Telangana,Hyderabad,Hyderabad,Hyderabad,2014,—
32,Tripura,Agartala,Agartala,Agartala,1972,—
33,Uttar Pradesh,Lucknow,Lucknow,Prayagraj,1950,—
34,Uttarakhand,Dehradun,Gairsain (Summer)[11]Dehradun (Winter),Nainital,20002020,—
35,West Bengal,Kolkata,Kolkata,Kolkata,1950,
